 aiddata_id                             | bigint                         | 
 year                                   | integer                        | 
 commitment_date                        | timestamp(6) without time zone | 
 start_date                             | timestamp(6) without time zone | 
 end_date                               | timestamp(6) without time zone | 
 donor                                  | character varying(100)         | 
 donorcode                              | character varying(255)         | 
 umbrella                               | character varying(100)         | 
 donor_project_id                       | character varying(255)         | 
 crsid                                  | character varying(255)         | 
 financing_agency                       | character varying(255)         | 
 donor_type                             | character varying(255)         | 
 bi_multi                               | text                           | 
 recipient                              | character varying(100)         | 
 recipientcode                          | character varying(3)           | 
 private_recipient                      | boolean                        | 
 implementing_agency                    | character varying(255)         | 
 channelcode                            | text                           | 
 borrower                               | text                           | 
 beneficiary                            | character varying(255)         | 
 guarantor                              | character varying(255)         | 
 other_involved_institutions            | character varying(255)         | 
 commitment_amount                      | double precision               | 
 commitment_amount_currency             | text                           | 
 commitment_amount_usd_nominal          | double precision               | 
 commitment_amount_usd_constant         | double precision               | 
 disbursement_amount                    | double precision               | 
 disbursement_amount_currency           | text                           | 
 disbursement_amount_usd_nominal        | double precision               | 
 disbursement_amount_usd_constant       | double precision               | 
 total_project_cost                     | double precision               | 
 total_project_cost_currency            | text                           | 
 total_project_cost_usd_nominal         | double precision               | 
 total_project_cost_usd_constant        | double precision               | 
 title                                  | character varying(1000)        | 
 short_description                      | character varying(255)         | 
 short_description_original_language    | text                           | 
 long_description                       | text                           | 
 long_description_original_language     | text                           | 
 additional_info                        | text                           | 
 additional_info_original_language      | text                           | 
 flow_type                              | character varying(255)         | 
 crs_flow_name                          | text                           | 
 number_repayments_per_year             | integer                        | 
 repay_type                             | text                           | 
 loan_term                              | character varying(255)         | 
 grace_period                           | character varying(255)         | 
 interest_rate                          | character varying(255)         | 
 second_interest_rate                   | text                           | 
 grant_element                          | double precision               | 
 cancelled                              | boolean                        | 
 repay_date_first                       | timestamp(6) without time zone | 
 repay_date_last                        | timestamp(6) without time zone | 
 untied_amount_usd_nominal              | text                           | 
 partial_tied_amount_usd_nominal        | text                           | 
 tied_amount_usd_nominal                | text                           | 
 received_amount_usd_nominal            | text                           | 
 irtc_amount_usd_nominal                | text                           | 
 expert_commitment_amount_usd_nominal   | text                           | 
 expert_extended_amount_usd_nominal     | text                           | 
 export_credit_amount_usd_nominal       | text                           | 
 outstanding_amount_usd_nominal         | text                           | 
 arrears_principal_amount_usd_nominal   | text                           | 
 arrears_interest_amount_usd_nominal    | text                           | 
 future_ds_principal_amount_usd_nominal | text                           | 
 future_ds_interest_amount_usd_nominal  | text                           | 
 interest_amount_usd_nominal            | text                           | 
 region                                 | character varying(255)         | 
 location                               | character varying(255)         | 
 source                                 | character varying(100)         | 
 language                               | character varying(255)         | 
 biodiversity                           | text                           | 
 climate                                | text                           | 
 desertification                        | text                           | 
 crs_purpose_code                       | text                           | 
 crs_purpose_name                       | text                           | 
 gender                                 | text                           | 
 trade                                  | text                           | 
 pdgg                                   | text                           | 
 ftc                                    | text                           | 
 sector_programme                       | text                           | 
 sector                                 | text                           | 
 sector_code                            | text                           | 
 associated_financing                   | text                           | 
 initial_report                         | text                           | 
 finance_t                              | text                           | 
 environmental_impact_assessment        | boolean                        | 
 environment                            | text                           | 
 investment_project                     | boolean                        | 
 aiddata_purpose_code                   | character varying(255)         | 
 aiddata_purpose_name                   | character varying(255)         | 
 aiddata_activity_code                  | text                           | 
 aiddata_activity_name                  | text                           | 
 aiddata_feasibility_study              | boolean                        | 
 aiddata_techinical_assistance          | boolean                        | 
 coalesced_purpose_code                 | character varying(255)         | 
 coalesced_purpose_name                 | character varying(255)         | 
