date,donor,recipient,sum_amount_usd_constant,count
1988,(EC),ABW,55469,1
1989,(EC),ABW,240602,4
1990,(EC),ABW,300198,4
1991,(EC),ABW,87357,1
1992,(EC),ABW,298027,2
1993,(EC),ABW,7010487,6
1994,(EC),ABW,9566607,9
1995,(EC),ABW,1353398,3
1996,(EC),ABW,1754749,4
1998,(EC),ABW,103578,2
1999,(EC),ABW,389956,1
2000,(EC),ABW,60857,1
2001,(EC),ABW,677531,1
2003,(EC),ABW,28754,1
2004,(EC),ABW,6359861,1
2001,(UNAIDS),ABW,75653,1
1999,(UNDP),ABW,3467,1
1999,BEL,ABW,21941,1
1985,NLD,ABW,100204502,1
1986,NLD,ABW,10385850,3
1987,NLD,ABW,35124324,18
1988,NLD,ABW,35195199,18
1989,NLD,ABW,34727249,18
1990,NLD,ABW,48700854,19
2001,NLD,ABW,50050,2
2000,USA,ABW,61827,1
2004,USA,ABW,1133,1
2007,(ASDB),AFG,15956641,3
2008,(ASDB),AFG,58354245,1
2007,(ASDF),AFG,180023645,1
1974,(EC),AFG,4325613,1
1975,(EC),AFG,521310,1
1977,(EC),AFG,1016751,2
1979,(EC),AFG,1392068,1
1985,(EC),AFG,13432,1
1995,(EC),AFG,29292048,2
1996,(EC),AFG,48292911,2
1997,(EC),AFG,75750288,2
1998,(EC),AFG,68402432,5
1999,(EC),AFG,46304562,6
2000,(EC),AFG,42454517,9
2001,(EC),AFG,117686517,30
2002,(EC),AFG,342540064,18
2003,(EC),AFG,368523184,46
2004,(EC),AFG,358592888,38
2005,(EC),AFG,316349890,28
2006,(EC),AFG,278528413,20
2007,(EC),AFG,274221231,26
2008,(EC),AFG,300887453,25
2009,(EC),AFG,375741539,14
2007,(GAVI),AFG,13848882,6
2008,(GAVI),AFG,18516395,7
2009,(GAVI),AFG,18681180,4
2004,(GEF),AFG,1599703,3
2004,(GFATM),AFG,3636394,1
2005,(GFATM),AFG,3910521,1
2006,(GFATM),AFG,19942119,1
2008,(GFATM),AFG,4637172,2
2009,(GFATM),AFG,50596794,5
1964,(IDA),AFG,24434751,1
1969,(IDA),AFG,31955596,1
1970,(IDA),AFG,30374399,1
1971,(IDA),AFG,28665073,1
1973,(IDA),AFG,115055247,4
1975,(IDA),AFG,80037478,2
1976,(IDA),AFG,144346360,4
1977,(IDA),AFG,38879056,1
1978,(IDA),AFG,159777626,3
1979,(IDA),AFG,139906163,3
2002,(IDA),AFG,145457261,4
2003,(IDA),AFG,513140580,8
2004,(IDA),AFG,290855234,5
2005,(IDA),AFG,249455305,5
2006,(IDA),AFG,309726551,6
2007,(IDA),AFG,320973978,8
2008,(IDA),AFG,124489055,5
2009,(IDA),AFG,240810000,9
2010,(IDA),AFG,197605730,5
2011,(IDA),AFG,182580765,3
1979,(IFAD),AFG,34040780,2
2009,(IFAD),AFG,23900000,1
2006,(IMF),AFG,60918721,1
1978,(ISDB),AFG,22623381,1
1992,(ISDB),AFG,362827,1
1995,(ISDB),AFG,247875,1
1997,(ISDB),AFG,139632,1
1998,(ISDB),AFG,284194,1
2002,(ISDB),AFG,7112861,2
2003,(ISDB),AFG,5790649,1
2004,(ISDB),AFG,12199631,3
2005,(ISDB),AFG,22718575,1
2007,(ISDB),AFG,17051103,2
2008,(ISDB),AFG,9725707,1
1977,(OFID),AFG,12149705,1
1979,(OFID),AFG,9013918,1
1998,(OFID),AFG,497340,2
2002,(OFID),AFG,436372,1
2005,(OFID),AFG,34017,1
2007,(UNDEF),AFG,702263,2
2008,(UNDEF),AFG,389028,1
2009,(UNDEF),AFG,350000,1
1999,(UNDP),AFG,15114217,10
2004,(UNDP),AFG,6999724,30
2005,(UNDP),AFG,8280268,35
2006,(UNDP),AFG,8604180,37
2007,(UNDP),AFG,11554634,40
2008,(UNDP),AFG,11760419,36
2009,(UNDP),AFG,19260280,29
2001,(UNFPA),AFG,1171578,13
2002,(UNFPA),AFG,3758679,16
2003,(UNFPA),AFG,6166411,20
2004,(UNFPA),AFG,1578427,12
2005,(UNFPA),AFG,3670374,10
2006,(UNFPA),AFG,4255805,13
2007,(UNFPA),AFG,4762061,15
2008,(UNFPA),AFG,4086868,14
2009,(UNFPA),AFG,5043520,17
2000,(UNICEF),AFG,13055650,12
2001,(UNICEF),AFG,13608491,10
2002,(UNICEF),AFG,13353631,11
2003,(UNICEF),AFG,18528320,14
2004,(UNICEF),AFG,12959281,12
2005,(UNICEF),AFG,19374444,15
2006,(UNICEF),AFG,20455878,110
2007,(UNICEF),AFG,26979637,127
2008,(UNICEF),AFG,34731217,142
2009,(UNICEF),AFG,39542740,157
2007,(WTO),AFG,35243,1
1977,ARE,AFG,28523502,1
2009,ARE,AFG,250034037,2
2010,ARE,AFG,6354336,1
1973,AUS,AFG,81835,1
1975,AUS,AFG,217141,1
1977,AUS,AFG,2418594,2
1978,AUS,AFG,1992459,2
1995,AUS,AFG,8728229,12
1996,AUS,AFG,1164923,1
1997,AUS,AFG,5747066,6
1998,AUS,AFG,1407618,3
1999,AUS,AFG,261140,2
2000,AUS,AFG,9699338,4
2001,AUS,AFG,13863273,17
2002,AUS,AFG,26880803,25
2003,AUS,AFG,29218520,20
2004,AUS,AFG,13685389,19
2005,AUS,AFG,6808647,9
2006,AUS,AFG,157943554,22
2007,AUS,AFG,41519454,16
2008,AUS,AFG,49537939,30
2009,AUS,AFG,46536567,27
1989,AUT,AFG,2263066,2
1991,AUT,AFG,850142,4
1996,AUT,AFG,3894341,7
1997,AUT,AFG,2372017,1
1998,AUT,AFG,988143,5
1999,AUT,AFG,3292287,6
2000,AUT,AFG,10206169,6
2001,AUT,AFG,17209444,8
2002,AUT,AFG,22614004,19
2003,AUT,AFG,10902784,18
2004,AUT,AFG,8910047,16
2005,AUT,AFG,8937992,19
2006,AUT,AFG,1481105,12
2007,AUT,AFG,974327,8
2008,AUT,AFG,453961,5
2009,AUT,AFG,907150,4
1994,BEL,AFG,318564,3
1995,BEL,AFG,257976,3
1997,BEL,AFG,1300485,3
2001,BEL,AFG,18240070,17
2002,BEL,AFG,11903096,16
2003,BEL,AFG,4298497,10
2004,BEL,AFG,25961754,8
2005,BEL,AFG,6337140,14
2006,BEL,AFG,1648421,6
2007,BEL,AFG,8201604,11
2008,BEL,AFG,17629476,19
2009,BEL,AFG,14468263,19
2009,BRA,AFG,41280,4
1973,CAN,AFG,3586989,1
1974,CAN,AFG,7439174,2
1975,CAN,AFG,40635,1
1976,CAN,AFG,17813122,5
1977,CAN,AFG,31501266,3
1978,CAN,AFG,31460746,7
1979,CAN,AFG,889115,2
1984,CAN,AFG,522322,1
1988,CAN,AFG,3406993,1
1990,CAN,AFG,2787739,1
1991,CAN,AFG,6316897,1
1992,CAN,AFG,7276003,3
1993,CAN,AFG,11110397,1
1994,CAN,AFG,12671080,3
1995,CAN,AFG,10909459,2
1996,CAN,AFG,6302174,2
1997,CAN,AFG,20794484,3
1998,CAN,AFG,8163779,3
1999,CAN,AFG,14213897,8
2000,CAN,AFG,11504951,5
2001,CAN,AFG,25098680,6
2002,CAN,AFG,118816586,20
2003,CAN,AFG,161560841,48
2004,CAN,AFG,150711336,22
2005,CAN,AFG,136478547,24
2006,CAN,AFG,128363485,35
2007,CAN,AFG,610751719,87
2008,CAN,AFG,226378157,71
2009,CAN,AFG,119751378,93
1974,CHE,AFG,1271639,3
1975,CHE,AFG,1863622,3
1976,CHE,AFG,1541802,2
1977,CHE,AFG,372530,3
1978,CHE,AFG,88557,1
1979,CHE,AFG,3478422,2
1986,CHE,AFG,233993,5
1989,CHE,AFG,242658,1
1990,CHE,AFG,3164520,3
1991,CHE,AFG,4327592,6
1992,CHE,AFG,5889572,1
1993,CHE,AFG,2340604,2
1994,CHE,AFG,2311350,2
1995,CHE,AFG,3560650,2
1996,CHE,AFG,1515816,1
1997,CHE,AFG,2814214,2
1998,CHE,AFG,8610112,15
1999,CHE,AFG,4156567,7
2000,CHE,AFG,17740867,37
2001,CHE,AFG,22141882,46
2002,CHE,AFG,22234681,36
2003,CHE,AFG,58656939,131
2004,CHE,AFG,9455720,53
2005,CHE,AFG,34227556,79
2006,CHE,AFG,20241626,32
2007,CHE,AFG,11671317,18
2008,CHE,AFG,233145,4
2009,CHE,AFG,3784532,11
2008,COL,AFG,144272,1
1973,DEU,AFG,3127254,1
1974,DEU,AFG,47823341,2
1975,DEU,AFG,1230587,2
1976,DEU,AFG,50386607,3
1977,DEU,AFG,49625,1
1978,DEU,AFG,66152,1
1979,DEU,AFG,5756322,4
1985,DEU,AFG,1121330,1
1986,DEU,AFG,607249,1
1987,DEU,AFG,662699,1
1988,DEU,AFG,11855351,1
1995,DEU,AFG,9142686,4
1996,DEU,AFG,10212987,4
1997,DEU,AFG,17632241,4
1998,DEU,AFG,4954103,4
1999,DEU,AFG,23509603,10
2000,DEU,AFG,17872220,12
2001,DEU,AFG,110802721,15
2002,DEU,AFG,223245102,41
2003,DEU,AFG,96309814,39
2004,DEU,AFG,104889388,85
2005,DEU,AFG,136607126,157
2006,DEU,AFG,147294061,150
2007,DEU,AFG,273169334,195
2008,DEU,AFG,359392037,253
2009,DEU,AFG,272100682,226
2010,DEU,AFG,696282,1
1978,DNK,AFG,27406664,1
1988,DNK,AFG,5400690,1
1990,DNK,AFG,3653805,1
1991,DNK,AFG,6538422,2
1992,DNK,AFG,7160604,1
1994,DNK,AFG,4975166,1
1995,DNK,AFG,6635867,1
1997,DNK,AFG,3879472,1
1999,DNK,AFG,3571989,1
2000,DNK,AFG,16371175,1
2001,DNK,AFG,8829231,1
2002,DNK,AFG,59657576,8
2004,DNK,AFG,2032043,7
2005,DNK,AFG,55775866,11
2006,DNK,AFG,20818126,14
2007,DNK,AFG,10986302,12
2008,DNK,AFG,106752555,18
2009,DNK,AFG,34621936,15
2010,DNK,AFG,5386702,2
1997,ESP,AFG,154937,1
1999,ESP,AFG,225808,2
2001,ESP,AFG,12021932,25
2002,ESP,AFG,32959746,20
2003,ESP,AFG,25412886,24
2004,ESP,AFG,21452877,20
2005,ESP,AFG,23731458,59
2006,ESP,AFG,21260035,17
2007,ESP,AFG,45335604,17
2008,ESP,AFG,16379469,35
2009,ESP,AFG,51163293,28
2002,EST,AFG,128602,1
2006,EST,AFG,116032,1
2007,EST,AFG,143274,3
2008,EST,AFG,407757,6
2009,EST,AFG,549824,7
2010,EST,AFG,732197,5
1990,FIN,AFG,2727225,2
1991,FIN,AFG,749903,1
1992,FIN,AFG,1639709,1
1993,FIN,AFG,2738938,2
1994,FIN,AFG,2000687,2
1995,FIN,AFG,1694333,2
1996,FIN,AFG,4296404,12
1997,FIN,AFG,3804667,5
1998,FIN,AFG,4169863,14
1999,FIN,AFG,3922363,6
2000,FIN,AFG,3804064,7
2001,FIN,AFG,15579033,13
2002,FIN,AFG,35225938,26
2003,FIN,AFG,29702441,29
2004,FIN,AFG,17448305,21
2005,FIN,AFG,18210542,22
2006,FIN,AFG,17239357,12
2007,FIN,AFG,53381784,22
2008,FIN,AFG,15993432,26
2009,FIN,AFG,5777951,12
2010,FIN,AFG,2715746,4
1974,FRA,AFG,4131222,1
1994,FRA,AFG,1629027,4
1995,FRA,AFG,1126866,6
1996,FRA,AFG,1482573,5
1997,FRA,AFG,1341819,5
1998,FRA,AFG,392910,4
1999,FRA,AFG,1224944,11
2000,FRA,AFG,1129507,5
2001,FRA,AFG,1138210,5
2002,FRA,AFG,18160788,7
2003,FRA,AFG,27926856,33
2004,FRA,AFG,26614655,25
2005,FRA,AFG,33402486,30
2006,FRA,AFG,26058232,18
2007,FRA,AFG,32448205,22
2008,FRA,AFG,37029474,27
2009,FRA,AFG,58615306,37
2010,FRA,AFG,11712148,2
2011,FRA,AFG,7241331,1
1973,GBR,AFG,145697,1
1975,GBR,AFG,3031340,2
1976,GBR,AFG,11264107,2
1977,GBR,AFG,54748021,7
1978,GBR,AFG,869011,1
1979,GBR,AFG,3109949,3
1980,GBR,AFG,1538325,2
1981,GBR,AFG,83399,1
1982,GBR,AFG,77731,1
1983,GBR,AFG,108655,1
1984,GBR,AFG,270884,2
1985,GBR,AFG,178842,1
1986,GBR,AFG,305167,2
1987,GBR,AFG,128744,1
1988,GBR,AFG,121137,1
1992,GBR,AFG,6658435,4
1995,GBR,AFG,13301596,3
1996,GBR,AFG,9566343,2
1997,GBR,AFG,13187079,6
1998,GBR,AFG,31672189,17
1999,GBR,AFG,817498,5
2000,GBR,AFG,13128823,17
2001,GBR,AFG,99997492,49
2002,GBR,AFG,558715220,69
2003,GBR,AFG,87806355,36
2004,GBR,AFG,181701532,39
2005,GBR,AFG,100218472,20
2006,GBR,AFG,95237334,13
