date,donor,recipient,sum_amount_usd_constant,purpose
2008,USA,"Central Asia, regional",63461,15160
2008,USA,"Central Asia, regional",100917,15110
2008,USA,AFG,126289,24010
2008,USA,AFG,504583,72010
2008,USA,LKA,8532096,72040
2008,USA,LKA,100917,15220
2008,USA,IND,201833,13020
2008,USA,NPL,504583,15130
2008,USA,PAK,493575,15110
2008,USA,PAK,264556,31110
2008,USA,PAK,313680,25010
2008,USA,BGD,61458,52010
2008,USA,BGD,410529,72040
2008,USA,BGD,50458,41010
2008,USA,BGD,726,15110
1999,(ISDB),Arab Countries,6984239,99000
2008,USA,KHM,504583,15150
2008,USA,CHN,9199,11220
2008,USA,CHN,102332,12250
2008,(UNDP),MKD,68667,43010
2008,USA,LAO,282567,16010
2008,USA,PHL,1009166,14020
2008,USA,THA,838240,12250
2008,USA,VNM,1179000,13040
2008,USA,VNM,224356,15250
2008,USA,"Asia, regional",1572281,41010
2008,USA,"Asia, regional",117917,25010
2008,USA,"Asia, regional",45259,43010
2008,USA,"Asia, regional",1230675,13020
2008,USA,"Asia, regional",232211,13020
2008,USA,MHL,63153,43010
2008,USA,PLW,324327,43010
2008,USA,TON,997814,43010
2008,USA,"Bilateral, unspecified",908250,74010
2008,USA,"Bilateral, unspecified",201833,72010
2008,USA,"Bilateral, unspecified",9083949,12262
2008,USA,"Bilateral, unspecified",1742099,31110
2008,USA,"Bilateral, unspecified",2450170,13040
2008,USA,"Bilateral, unspecified",13624,15210
2008,USA,"Bilateral, unspecified",491833,15210
2008,USA,"Bilateral, unspecified",24709,43010
2008,USA,"Bilateral, unspecified",1094243,13040
2008,USA,"Bilateral, unspecified",1646152,13030
2008,USA,"Bilateral, unspecified",199159,15111
2008,USA,"Bilateral, unspecified",21657,21010
2008,USA,"Bilateral, unspecified",706416,41010
2008,USA,"Bilateral, unspecified",100914,72010
2008,USA,"Bilateral, unspecified",201833,31120
2008,USA,"Bilateral, unspecified",1090541,12220
2008,USA,"Bilateral, unspecified",88819,11220
2008,USA,"Bilateral, unspecified",1273839,12250
2008,JPN,TUR,14511,41010
2008,JPN,UKR,613197,92030
2008,JPN,UKR,17533,33210
2008,JPN,MAR,5192,43040
2011,JPN,TUN,70311846,41050
2008,JPN,BDI,96005,60020
2008,JPN,TCD,96,12110
2008,JPN,COD,2713,33181
2008,JPN,COD,768527,43030
2008,JPN,CIV,32650,11330
2008,JPN,LBR,28873,11110
2008,JPN,MDG,27969,41010
2008,JPN,MWI,32512,12250
2008,JPN,MLI,342480,12110
2008,JPN,MOZ,216593,16010
2008,JPN,NER,849445,12110
2008,JPN,ZWE,28469,11420
2008,JPN,SEN,10351,11420
2008,JPN,DJI,175134,32171
2008,JPN,SDN,1562502,99810
2008,JPN,UGA,366173,21020
2009,WFP,SEN,,11220
2008,JPN,CUB,6213,43030
2008,JPN,DOM,58353,23010
2008,JPN,SLV,257605,16010
2008,JPN,GTM,513752,11110
2008,JPN,MEX,106206,33110
2008,JPN,NIC,998121,13020
2008,JPN,DMA,36086,11110
2008,JPN,VCT,61704,11320
2008,JPN,BRA,167091,16030
2008,JPN,ECU,2404,43040
2008,JPN,ECU,109685,31110
2008,JPN,GUY,56896,31310
2008,JPN,ARM,454035,11420
2008,JPN,ARM,64087,15110
2008,JPN,KAZ,1612238,16010
2008,JPN,UZB,99216,16010
2008,JPN,LKA,42395,99810
2008,JPN,LKA,125877,16020
2008,JPN,IND,441441,14015
2008,JPN,NPL,4243322,52010
2008,JPN,PAK,560477,11320
2008,JPN,PAK,22352,15110
2008,JPN,"South Asia, regional",209859,41010
2008,JPN,CHN,1007577,72010
2008,JPN,IDN,2756417,11320
2008,JPN,IDN,162623,43030
2008,JPN,LAO,119377,32182
2008,JPN,LAO,306553,11110
2008,JPN,LAO,55864,33120
2008,JPN,MYS,22650,24010
2008,JPN,THA,614592157,21030
2008,JPN,THA,41161,15130
