donor,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
(ACBF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4499624.15,34294685.8,10829014.6,6981948.58,18168369.65,23850129.13,39427715.03,64834522.4,29871650.81,24753870.53,,,
(AFDB),,,,,,,,,,,,,,,,,,,,,,,,68281649.17,141553864.82,140027385.69,139629677.71,366095617.37,377215843.49,355951764.32,498950910.42,578086134.25,695399417.95,693198997.2,785998102.02,1027310007.03,1421445732.59,1233825189,1783720144.9,2143057055.23,2435425560.73,2354081078.9,3171731485.88,3286854527.32,3319239137.46,2606494979.96,2313597486.51,1941406893.01,828581654.65,658983842.73,1114036803.72,1292998363.78,1488363839.16,1588905126.2,1874526660.53,2111537152.17,1287097479.05,2745529528.23,1407794176.75,1739550914.07,2699187637.37,2599873549.68,8795070166.79,4013993011.92,
(AFDF),,,,,,,,,,,,,,,,,,,,,,,,,,,,209339903.74,365058916.36,305793187.36,501823872.75,572817743.61,629338145.64,667702570.36,822026555.5,959748177.69,924780081.68,1018309980.9,1199339449.81,1360092537.83,1504876882.33,1387919219.43,1813567419.87,1807739654.13,1922814230.7,1665113573.83,1281492571.1,,,397005178.73,1411894509.75,954567921.65,889789599.02,2261889637.44,2518626848.77,1899072340.79,1887310526.41,2272815309.94,2303663198.27,2427846144.85,2287004145.53,2794319668.99,3897308716.76,2158682958.06,
(CAF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764642077.42,842500970.72,1043415282.71,1000669629.71,559730774.38,715056516.5,,,,,,,,8571503100.58,4836599421,4174357889.26,,5383132111.17,6108139432.35,6757023875.74,7986264655.69,,,
(BADEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,329916715.55,531339711.33,414724694.68,256851242.95,205589971.54,124404764.01,168029888.42,185004628.55,222087089.09,205993889.55,223551558.25,185562997.61,119794764.17,127319117.81,111780567.78,106464147.59,112646880.63,109578042.6,103302493.9,107500796.62,102824867.46,99063110.61,116679769.59,139394492.02,156221658.26,166553156.47,179215630.95,195487767.1,195480014.53,178320169.4,175013411.03,181131765.36,202948322.45,183705947.33,184788441.18,199910000,198120843.61,
(AFESD),,,,,,,,,,,,,,,,,,,,,,,,,,,,525639518.58,709506209.59,1185956232.77,1184938877.81,4179382.05,243589959.43,250629176.53,450869128.94,695033778.38,661763649.34,810899562.01,689462247.48,500915852.65,712038836.31,638668678.68,896105197.43,944537354.14,902710106.71,852500968.08,904596177.71,895947867.84,902118690.18,1166412859.26,1146210082.5,1221337191.85,1249554199.6,1378719252.99,1415842128.91,1410137008.16,1346116883.35,1200332999.25,1318490116.56,1341041015.42,1350578882.13,1300426462.14,1186707095.9,1279163460.53,
(ASDB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8907237395.41,8154838883.16,3670320000,,
(ASDF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2454540577.38,1803118925.44,868310000,,
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,188444912.31,1299976840.08,650935799.6,871924597.74,1215378323.2,1112860918.15,1057151659.81,983881593.58,938253588.7,831374508.2,941642959.1,815253449.02,758692154.61,716139245.52,662359181.8,1491307815.57,382905080.22,600737943.81,866561550.5,545820601.54,1188951973.88,1203203778.1,432543505.32,2198394454.53,1118492561.48,1041625058.12,1503173909.89,1943642602.93,1447329151.54,1233131731.25,1686444074.5,1567494527.08,1715066980.42,2594098272.81,1685473765.98,3696589511.55,3376052354.06,,
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,325349084.25,,27647996.56,124987160.23,105053000.18,53205555.38,231776292.89,608167067.91,817394892.14,411357054.53,137062413.54,199541876.85,156388510.26,132431483.02,432511882.88,625203812.49,134101627.51,481786094.93,119186672.31,51164575.69,32419282.05,61326866.6,664466830.87,422698132.66,641106403.66,581407974.44,629706486.98,774791460.09,730630989.31,474389995,523931897.96,1560442675.13,1336768908.13,1431898517.86,1290807750.6,544360963,,
