recipient,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,,,,,,,,,,,,,,,,,,24434750.91,,,,,31955595.53,30374399.1,28665073.27,,181176379.71,106383118.49,113893194.57,250726786.16,349022685.89,271218565.06,208572732.65,1882661.33,888161.53,650483.97,3789109.26,2881625.36,12016295.13,40859470.25,62294932.33,104627169.15,136124663.88,131271108.75,108225186.77,115721625.16,81092212.42,58924137.66,115358620.65,125008296.83,197855459.37,175601818.25,195164978.44,206639379,810479568.65,4198951508.82,3048148215.82,3272260489.61,3834379337.64,3550799185.14,4766984525.56,6279251886.29,6297894281.81,429124031.3,222441314.82
"Africa, regional",,,,,,,,,185096678.69,,,,,,,,,,258838500.37,,88036508.88,,223689168.69,323487350.37,28665073.27,176430293.55,173841397.27,,46024918.07,79917612.37,46533149.91,201928193.31,114323629.95,65834179.59,168507416.86,279894233.33,577421916.63,577170110.12,475243456.27,362480292.65,500783040.03,495196765.19,536087291.14,491219446.7,447095569.48,540290862.26,481100486.48,385518871.88,531030667.89,303398469.55,563612513,634467221.89,985531666.69,783102875.55,795116837.98,730192375.88,1692349139.71,1484113227.9,862041419.2,2698309688.71,2924671747.75,3503912793.68,5244835484.82,1096398889.9,523339859.11
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2917803.32,,84841174.37,182898488.99,276705502.5,217112668.73,282688857.64,268372857.55,231833316.08,532469037.9,999206029.86,496991104.86,458276568.73,615567652.2,604595429.39,592216394.24,527260224.31,664706550.91,496691790.12,584811947.2,298330848.66,,102081897.09
DZA,,,,,,,,,77123616.12,,,,385618080.61,,,,,633597532.43,,,160334788.33,,,,34398087.92,,426709760.83,1285257432.92,521377766.71,559509105.13,819905221.01,659031256.86,575519130.71,811686083.94,275589518.61,1039130001.03,963269842.58,1105551806.12,1150923543.92,519450492.43,1502238439.62,1584340485.15,2883976979.17,1170393891.58,1605329995.28,1439267025.03,1665002944.28,1213975611.82,4106155950.55,1523282691.91,362844741.54,902495889.31,773556522.34,1109820239.82,1211631730.41,1758096062.59,1178796433.07,496563331.41,809914674.79,581657942.19,462083312.33,247474807.94,298057629.78,,
"America, regional",,,,,,,,,,,,,,,,,,,,,,,,133647356.02,16822786.22,38017915.61,40812755.91,438304455.93,244987736.67,177167231.74,59222112.56,705784446.93,232517247.48,80719327.86,209075129.02,110578098.37,150368697.26,226081005.36,186691258.73,148787657.31,160864993.72,178617751.95,585364187.52,74103020.41,85644327.99,445997661.27,288456736.03,101502558.25,87849304.51,268064510.46,1287396948.01,659124521.1,1171775414.14,899593625.05,1401285568.87,492990137.41,568488815.86,1085952613.32,1046854368.93,576227011.25,893051149.1,1256216720.63,1075991259.34,11085472.4,12160191.97
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,64917.22,991584.49,5489901.63,46138868.31,81921078.89,66404118.76,120487700.75,111615149.05,110102641.05,191746893.23,262178337.45,161538000.93,212399939.65,288827440.66,281434445.92,413272933.53,161997028.62,517270009.57,603352775.56,679255701.13,132706405.06,284256883.19,529192548.18,534646606.03,346169366.6,364787898.27,367247089.6,429164566.67,400474781.84,584133133.41,772850196.18,1323851889.06,658877840.72,319032701.81,455298669.53,746569608.05,262780058.26,83322072.82,116665025.25
AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4207075.95,6244766.06,5882535.44,3775115.76,3096184.07,3608107.64,4242460.62,10420314.21,10708213.91,6858520,10070038.38,6000441.69,4158263.59,129247.54,11712064.94,2605540.15,9121050.47,7286036.37,3339763.85,6566728.96,5441504.16,6428941.58,6717237.49,6218210.61,16089510.95,1299656.41,5962460.64,2742553.23,521313.14,14493869.88,11564270.88,5714858.91,17812674.16,1232373.22,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,2190803.99,15479652.83,27332167.64,12226336.61,25639568.88,11026498.06,3294440.04,26756931.54,10986124.29,4444246.22,2516987,39213321.62,2767575.05,8239989.24,372487.8,1921913.36,1075224.5,6992947.79,411857.42,13454886.11,5637572.19,23758730.71,3821771.19,1171322.22,19904276.29,35808324.9,22831805.73,5893018.29,9627743.65,18789482.27,7715618.24,9455073.66,10326476.91,3478805.09,503244.58,27036909.84,822842.36,51174778.24,,
Arab Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,986587.11,3250760.29,4119277.61,3120461.9,1506222.56,689067.52,2436480.55,26169536.69,12281989.87,3157187.25,4549731.82,3778472.54,5111042.94,4813406.22,3806710.06,708619.09,1837508.32,517935.69,2874523.87,2346676.22,5214611.61,,1838844.09,7196821.58,3666840.38,16250641.98,707023.43,246683.02,2052838.67,788351.51,662172.86,16890656.05,48059947.1,621288.07,11218984.85,8947432.14,12397821.45,
ARG,,,,,,,,,,,,,,,374049538.2,704574766.88,,,,,103612198.91,887859231.41,543245123.96,476878065.8,1287332961.45,831835593.56,92360069.67,369083130.82,767919227.68,1151679649.63,1695272582.41,1288178767.72,1528038879.91,1384291385.24,1867174213.87,1024501604.36,465374901.29,4094748399.89,1055906864.43,2489675946.75,3370699135.08,3571000465.36,1648514542.64,767122219.43,3685506405.64,6982636632.72,4396689105.44,3155586570.17,7016730371.46,5769863431.82,4166641846.68,14690945526.22,2531968522.64,3700236116.6,36672239055.32,474777501.38,25168719528.99,2152703866.9,2162547181.57,3858161903.41,4191654367.51,1453824668.68,1766679543.95,1637419242.21,1127761910.8
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390023.16,107658356.63,259357701.74,329458758.38,390900250.77,324741331.72,432098895.54,317955816.89,352267510.83,491920445.28,275764307.07,262333769.56,367785545.36,503987882.62,583357328.22,465268741.07,425292341.9,939438682.52,148769892.09,74860057.88
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100204501.8,10385849.34,35124325.79,35250668.67,34967851.12,49001052.35,87356.94,298027.1,7010486.6,9566607.18,1353398.27,1754748.53,,103577.6,415364.05,122683.52,803234.82,,28754.45,6360993.71,,,,,,,
"Asia, regional",,,,,,,,,,,,,,,,,,,,,,,,,,,117083.52,22389269.86,3335845.37,3409578.61,5380600.47,2238045.85,20422068.8,19301956.96,64502123.38,59208562.64,54754606.03,117268443.1,63558640.75,104407232.87,90468552.93,65816679.12,42473621.36,59361959.15,87258899.3,82434799.86,110499847.05,126208791.16,185216367.98,199156613.37,167544888.97,248650444.81,673078310.42,580482582.52,406922056.16,426876702.13,305928224.97,309718814.88,868144274.95,628125639.84,558978632.75,1025351958.64,1241464642.09,155241.03,
AUS,,,,771236161.23,,385618080.61,,416467527.06,420323707.87,456571807.44,,,,,,741657649.35,,,,,,,,,,,,,,,,,,,,,,,,1740811.38,,712031.49,479598.88,,,,,,,155616.25,,426291.59,,,,,254534.02,581710.47,646316.02,,,,,,
AUT,,,,,,,,92548339.35,77123616.12,239083209.98,27764501.8,276102545.72,69411254.51,,,37082882.47,,,,,,,,,,,,,,,,,,,204717.92,,,,,,,,,,,,,,,50550.17,,,,,9726.69,400007.47,318167.52,1428.88,123164.88,,,,65000,,
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353358.82,4302151.38,16200491.84,116518098.09,350292464.14,259917772.91,340735500.19,585298037.99,751054497.68,296703640.12,352671015.46,373334836.16,360945159.85,419471170.39,1091665871.32,715834191.3,1027119570.82,1639397436.68,828383816.89,347162703.93,167219869.53
BHS,,,,,,,,,,,,,,,,,,,,,,,,,3726459.53,,253177.15,,,46640896.5,20186.36,12249871.34,14423386.02,8643198.09,18408965.55,24086352.1,2033420.73,2198409.48,23016484.59,34766490.16,314050.05,229018946.76,,16591937.31,78927109.58,52939613.42,9481478.77,29762668.21,880501.99,77457989.84,4380903.54,25676217.78,51446930.28,38957474.86,77920921.42,7675454.41,7433778.47,13446104.96,39792788.37,9734263.02,102286.16,,3250000,,
BHR,,,,,,,,,,,,,,,,,,,,,,,,63167463.33,50515304.3,365863927.62,,54200481.03,1655359.08,160836882.02,191078898.21,108433454.53,,50179357.94,,378422.9,100266269.1,78735813.88,,2832882.91,35556834.09,643400.18,13365170.59,82403869.61,192777310.37,43692771.24,32610799.03,977106.67,103228342.81,89368792.84,269334104.8,394270135,392607032.74,235565772.36,207448155.84,247514766.92,164388955.98,289539184.47,328828671.15,139727097.22,116474261.64,18229835.95,104244335.94,45172129.91,
BGD,,,,,,,,,,,,,4627416.97,,18509667.87,20024756.53,216373488.92,309972268.65,64028471.15,214989552.3,89390916.7,,179590446.86,204723449.9,143325366.35,255696077.6,1272294342.63,2424005449.71,3426527582.74,2566409659.79,1841697867.23,3094645330.1,2222090264.6,4258193089.9,2959748654.75,3138650634.76,2383830493.62,3236704367.37,3388604859.41,2787399512.29,2492383230.91,1827197978.65,2776737692.51,2907532273.47,1678322639.78,2026201727.79,1136815065.71,1855005243.63,1496174161.8,1683225076.2,1601968013.27,2864496302.51,2842488017.68,2006462874.08,2221988159.12,2058257374.44,3463556007.97,3282572192.59,2071002365.65,2393505507.37,3183754925.34,3601113109.35,3182735439.76,861192591.33,1580033325.35
BRB,,,,,,,,,,,,,,,,,,,,,,,,1002355.17,6587233.83,23038216.59,70508901.27,44162633.02,48435312.41,31784223.74,15758019.46,52747819.92,89195913.53,54827773.15,114860642.86,108500638.01,80113953.74,158129395.46,80563158.12,75495376.97,22014943.18,27686359.82,53272091.91,609039.9,22513269.88,154121680.06,86129455.43,21769406.21,69267500.34,7850456.28,4292298.97,223775911.17,9523453.87,58311191.45,81973070.43,48242330.37,4590516.25,20897170.12,8812948.16,49106936.05,58461419.53,50011400.8,17425913.45,990604.22,
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57959779.13,265670041.3,202104349.06,217927956.97,15399925.22,34944607.89,19480877.79,21713407.94,17917909.96,86621706.35,82629481.88,64356166.59,99586128.06,106098601.74,149409144.36,141413420.79,138771250.18,1506626627.55,271483282.82,
BEL,,,123397785.8,,231370848.37,,,154247232.25,,,77123616.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518720.84,,,,,,,,,,,,,,,
BLZ,,,,,,,,,,,,,,,,,,,,,,,,,8761880.96,4986722.99,31031214.05,95927554.01,13083534.94,57331748.27,36285009.13,83732867.67,23410789.71,21781896.51,7061056.97,24119147.34,103638189.3,48104376.77,70679154.31,54655530.3,28062352.27,69665352.89,44022401.17,15585478.76,36587658.97,54015023.44,124959494.55,44778333.71,47533761.58,48357632.26,50210511.29,105504476.38,121511735.61,168562042.96,59435829.58,42263865.85,43760320.66,27287781.9,40635796.09,103351613.23,24317604.56,36986014.71,62498189.14,18683635.59,
BEN,,,,,,,,,,,,,,,,,,,,,,,29399147.88,21262079.37,,32916114.55,62999768.07,127698537.61,120267990.54,108387964.63,188369455.57,329494325.7,100794112.2,145326750.49,249067520.08,299124408.57,123546846.1,324463998.26,194938871.95,166987839.2,286184041.69,396833342.83,427484869.96,270977349.09,451625963.1,292347415.22,420064482.78,283554174.65,376161074.31,294887490.24,232726030.85,320082238.75,501135334.85,816052911.07,331157193.11,356312524.91,543770955.96,649772235.38,671140154.45,901361074.91,565294372.18,650424357.02,642843407.59,224796205.28,83609934.77
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128744.05,3028.42,,59624208.47,,,,,126863.13,,,21966.42,16679.91,42540.67,29065.45,1237.9,7853480.15,36440.13,,,,,,,
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,3005991.92,245614.11,130177.16,1689162.38,2043742.2,1183529.93,915641.89,18745390.52,10386983.32,19800515.58,27328531.08,35456896.72,102166376.39,37759052.46,19339026.28,50465887.39,36289357.16,44845143.75,48029027.88,73086660.2,62628559.07,36580402.2,52627556.88,59043740.27,73905952.97,61280742.62,78021300.51,51162982.63,67750253.66,59605147.05,175646075.95,66992310.29,108143394.63,46236802.78,158397755.27,366181433.43,296179939.37,220675879.23,
